Year,Name,College,POS,Height,Weight,Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2017,Corey Levin,Tennessee-Chattanooga,OL,75.75,307,10.88,33.5,,5.16,26,26.5,106,4.73,7.55,
2017,Jourdan Lewis,Michigan,CB,70,188,9.25,31.63,,4.54,15,34.5,121,,,
2017,William Likely,Maryland,FS,67.13,180,9.5,29,,,15,,,,,
2017,Sefo Liufau,Colorado,QB,75.38,232,10.75,33.5,,5.08,,27,105,4.45,7.32,
2017,T.J. Logan,North Carolina,RB,69.13,196,9,32,,4.37,17,33.5,121,4.43,,12
2017,Shalom Luani,Washington State,SS,71.38,202,9.75,32,,4.55,12,31,116,4.21,6.87,
2017,Keevan Lucas,Tulsa (OK),WR,69.13,192,9.88,31.88,,4.55,11,32.5,119,4.43,7.23,
2017,Marlon Mack,South Florida,RB,70.75,213,9,32,,4.5,15,35.5,125,4.22,,11.03
2017,Erik Magnuson,Michigan,OG,78,305,,,,,,,,4.94,,
2017,Patrick Mahomes,Texas Tech,QB,74.13,225,9.25,33.25,24,4.8,,30,114,4.08,6.88,
2017,Josh Malone,Tennessee,WR,74.63,208,9.63,31.38,,4.4,10,30.5,121,4.19,7.05,11.32
2017,Damien Mama,Southern California,OG,75.25,334,11,35,,5.84,,24.5,96,5.38,8.51,
2017,Gabe Marks,Washington State,WR,70.75,189,8.75,30.38,,4.56,11,29.5,117,4.2,7.01,
2017,JoJo Mathis,Washington,OLB,74.13,266,9,33,,,24,,,,,
2017,Art Maulet,Memphis,DB,69.75,189,9.63,31.25,,4.62,18,34.5,120,4.22,,
2017,Marcus Maye,Florida,FS,71.63,210,9.13,32.5,,,,,,4.12,,11.19
2017,Christian McCaffrey,Stanford,RB,71.25,202,9,30,21,4.48,10,37.5,121,4.22,6.57,11.03
2017,Conor McDermott,UCLA,OT,80.13,307,11,34.75,,5.18,,28.5,105,4.58,7.52,
2017,Malik McDowell,Michigan State,DT,77.75,295,10.5,34.75,15,4.85,23,28.5,112,,7.69,
2017,Elijah McGuire,Louisiana-Lafayette,RB,69.75,214,9,31,,4.53,15,36,120,4.56,7.26,
2017,Takkarist McKinley,UCLA,DE,74.13,250,9.75,34.75,,4.59,24,33,122,4.32,7.48,11.83
2017,Raekwon McMillan,Ohio State,LB,73.75,240,9.75,33,28,4.61,23,33,121,,7.15,
2017,Jeremy McNichols,Boise State,RB,68.63,214,10,31.5,,4.49,,35.5,121,4.28,6.93,
2017,Obi Melifonwu,Connecticut,FS,76,224,9.13,32.5,,4.4,17,44,141,,,
2017,Matt Milano,Boston College,OLB,72.25,223,9.38,32,,4.67,24,35,126,4.38,,
2017,Joe Mixon,Oklahoma,RB,73,226,,,12,,,,,,,
2017,Fabian Moreau,UCLA,CB,71.88,206,9,31.38,23,4.35,,38,136,4.12,6.94,
2017,Drew Morgan,Arkansas,WR,71.75,190,9.5,30.38,,4.74,10,30,112,4.12,6.85,11.31
2017,Jordan Morgan,Kutztown (PA),OG,74.75,309,10,34.63,,5.36,21,27,102,4.73,8.13,11.71
2017,Avery Moss,Youngstown State (OH),DE,75.13,264,10.38,34.5,,4.79,14,32.5,114,4.62,7.25,
2017,Taylor Moton,Western Michigan,OG,77.38,319,10.63,34.13,,5.18,23,30.5,109,4.58,7.73,
2017,Al-Quadin Muhammad,Miami (FL),DE,75.25,253,9.38,33.25,,4.88,22,30.5,117,4.37,7.25,
2017,Levon Myers,Northern Illinois,OT,77,309,,,,,,,,5.06,,
2017,Jalen Myrick,Minnesota,CB,69.63,200,8.75,31.63,,4.28,13,37.5,124,4.22,7.06,11.84
2017,Montae Nicholson,Michigan State,SS,73.63,212,9.5,33.38,,4.42,,35,125,4.19,,
